id,CenterName,URL,DistrictCode,Address,Phone
1,中正區健康服務中心,https://www.zzhc.gov.taipei/,63000050,台北市牯嶺街24號,(02)23215158
2,大安區健康服務中心,https://www.dahc.gov.taipei/,63000030,台北市辛亥路三段15號,(02)27335831
3,信義區健康服務中心,https://www.xyhc.gov.taipei/,63000020,台北市信義區福德街86號11樓,(02)27234598
4,南港區健康服務中心,https://www.nghc.gov.taipei/,63000090,台北市南港路一段360號,(02)27825220 　
5,內湖區健康服務中心,https://www.nhhc.gov.taipei/,63000100,台北市民權東路六段99號,(02)27911162
6,北投區健康服務中心,https://www.bthc.gov.taipei/,63000120,台北市石牌路二段111號3樓1樓,(02)28261026
7,士林區健康服務中心,https://www.slhc.gov.taipei/,63000110,台北市中正路439號,(02)28813039　
8,松山區健康服務中心,https://www.sshc.gov.taipei/,63000010,台北巿八德路四段692號2樓,(02)27671757
9,大同區健康服務中心,https://www.dthc.gov.taipei/,63000060,台北市昌吉街52號,(02)25853227 　
10,萬華區健康服務中心,https://www.whhc.gov.taipei/,63000070,台北市東園街152號,(02)23033092
11,文山區健康服務中心,https://www.wshc.gov.taipei/,63000080,台北市木柵路三段220號,(02)22343501
12,中山區健康服務中心,https://www.zshc.gov.taipei/,63000040,台北市松江路367號7樓,(02)25014616　
13,中正區健康服務中心,https://www.zzhc.gov.taipei/,63000050,台北市牯嶺街24號,(02)23215158
14,大安區健康服務中心,https://www.dahc.gov.taipei/,63000030,台北市辛亥路三段15號,(02)27335831
15,信義區健康服務中心,https://www.xyhc.gov.taipei/,63000020,台北市信義區福德街86號11樓,(02)27234598
16,南港區健康服務中心,https://www.nghc.gov.taipei/,63000090,台北市南港路一段360號,(02)27825220 　
17,內湖區健康服務中心,https://www.nhhc.gov.taipei/,63000100,台北市民權東路六段99號,(02)27911162
18,北投區健康服務中心,https://www.bthc.gov.taipei/,63000120,台北市石牌路二段111號3樓1樓,(02)28261026
19,士林區健康服務中心,https://www.slhc.gov.taipei/,63000110,台北市中正路439號,(02)28813039　
20,松山區健康服務中心,https://www.sshc.gov.taipei/,63000010,台北巿八德路四段692號2樓,(02)27671757
21,大同區健康服務中心,https://www.dthc.gov.taipei/,63000060,台北市昌吉街52號,(02)25853227 　
22,萬華區健康服務中心,https://www.whhc.gov.taipei/,63000070,台北市東園街152號,(02)23033092
23,文山區健康服務中心,https://www.wshc.gov.taipei/,63000080,台北市木柵路三段220號,(02)22343501
24,中山區健康服務中心,https://www.zshc.gov.taipei/,63000040,台北市松江路367號7樓,(02)25014616　
25,中正區健康服務中心,https://www.zzhc.gov.taipei/,63000050,台北市牯嶺街24號,(02)23215158
26,大安區健康服務中心,https://www.dahc.gov.taipei/,63000030,台北市辛亥路三段15號,(02)27335831
27,信義區健康服務中心,https://www.xyhc.gov.taipei/,63000020,台北市信義區福德街86號11樓,(02)27234598
28,南港區健康服務中心,https://www.nghc.gov.taipei/,63000090,台北市南港路一段360號,(02)27825220 　
29,內湖區健康服務中心,https://www.nhhc.gov.taipei/,63000100,台北市民權東路六段99號,(02)27911162
30,北投區健康服務中心,https://www.bthc.gov.taipei/,63000120,台北市石牌路二段111號3樓1樓,(02)28261026
31,士林區健康服務中心,https://www.slhc.gov.taipei/,63000110,台北市中正路439號,(02)28813039　
32,松山區健康服務中心,https://www.sshc.gov.taipei/,63000010,台北巿八德路四段692號2樓,(02)27671757
33,大同區健康服務中心,https://www.dthc.gov.taipei/,63000060,台北市昌吉街52號,(02)25853227 　
34,萬華區健康服務中心,https://www.whhc.gov.taipei/,63000070,台北市東園街152號,(02)23033092
35,文山區健康服務中心,https://www.wshc.gov.taipei/,63000080,台北市木柵路三段220號,(02)22343501
36,中山區健康服務中心,https://www.zshc.gov.taipei/,63000040,台北市松江路367號7樓,(02)25014616　
